"id","location","organization","program","phone","toll_free","text_only","type","status","population_categories","service_categories","more_info","partnered","updated_at_label"
"clearwater-safe-home","Clearwater","Yellowhead Community Services Society","Clearwater Safe Home","250-674-2135","1-855-674-2135","","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-674-2135 | Toll free: 1-855-674-2135","true","From BC transition houses CSV"
"joy-s-place","Coquitlam","Tri-City Transitions Society","Joy's Place","604-492-1700","1-800-563-0808","","Transition House","Unknown","{}","{Transition House}","Phone: 604-492-1700 | Toll free: 1-800-563-0808","true","From BC transition houses CSV"
"lilli-house","Courtenay","Comox Valley Transition Society","Lilli House","250-338-1227","","250-218-4034","Transition House","Unknown","{}","{Transition House}","Phone: 250-338-1227 | Text only: 250-218-4034","true","From BC transition houses CSV"
"kootenay-haven-transition-house","Cranbrook","Canadian Mental Health Association for the Kootenays","Kootenay Haven Transition House","250-426-4887","1-800-200-3003","","Transition House","Unknown","{}","{Transition House}","Phone: 250-426-4887 | Toll free: 1-800-200-3003","true","From BC transition houses CSV"
"irvine-house-safe-home-program","Creston","Kootenai Community Centre Society","Irvine House Safe Home Program","250-428-6856","","250-402-0068","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-428-6856 | Text only: 250-402-0068","true","From BC transition houses CSV"
"mizpah-transition-house","Dawson Creek","South Peace Community Resources Society","Mizpah Transition House","250-782-9176","","","Transition House","Unknown","{}","{Transition House}","Phone: 250-782-9176","true","From BC transition houses CSV"
"azure-place","Delta","W.I.N.G.S. Fellowship Ministries (Women in Need Gaining Strength)","Azure Place","604-957-1556","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-957-1556","true","From BC transition houses CSV"
"somenos-transition-house","Duncan","Cowichan Women Against Violence Society","Somenos Transition House","250-748-8544","","250-701-1563","Transition House","Unknown","{}","{Transition House}","Phone: 250-748-8544 | Text only: 250-701-1563","true","From BC transition houses CSV"
"lelum-u-tu-s-tsa-elh-teyten-house-of-honorable-mothers","Duncan","Hiiye'yu Lelum (House of Friendship) Society","Lelum 'u tu S'tsa'-elh teyten (House of Honorable Mothers)","250-732-7788","","250-748-2242","Transition House","Unknown","{}","{Transition House}","Phone: 250-732-7788 | Text only: 250-748-2242","true","From BC transition houses CSV"
"elk-valley-women-s-transition-house","Elkford","Elkford Women's Task Force Society","Elk Valley Women's Transition House","250-946-6004","","","Transition House","Unknown","{}","{Transition House}","Phone: 250-946-6004","true","From BC transition houses CSV"
"fnafs-women-s-transition-house","Fort Nelson","Fort Nelson Aboriginal Friendship Society","FNAFS Women's Transition House","250-774-4742","","250-774-2993","Transition House","Unknown","{}","{Transition House}","Phone: 250-774-4742 | Text only: 250-774-2993","true","From BC transition houses CSV"
"fireweed-safe-haven","Fort St. James","Fireweed Collective Society","Fireweed Safe Haven","250-996-8000","","","Transition House","Unknown","{}","{Transition House}","Phone: 250-996-8000","true","From BC transition houses CSV"
"meaope-transition-house","Fort St. John","North Peace Community Resources Society","Meaope Transition House","250-785-5208","","250-785-6021","Transition House","Unknown","{}","{Transition House}","Phone: 250-785-5208 | Text only: 250-785-6021","true","From BC transition houses CSV"
"gold-river-safe-home","Gold River","Campbell River and North Island Transition Society","Gold River Safe Home","250-286-3666","1-800-667-2188","","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-286-3666 | Toll free: 1-800-667-2188","true","From BC transition houses CSV"
"golden-safe-home","Golden","Golden Women's Centre Society","Golden Safe Home","250-344-2101","","250-344-5317","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-344-2101 | Text only: 250-344-5317","true","From BC transition houses CSV"
"boundary-women-s-transition-house","Grand Forks","Boundary Women's Coalition","Boundary Women's Transition House","250-442-3131","1-855-441-3131","","Transition House","Unknown","{}","{Transition House}","Phone: 250-442-3131 | Toll free: 1-855-441-3131","true","From BC transition houses CSV"
"cedar-rose","Hazelton","Northern Society for Domestic Peace","Cedar Rose","778-641-4445","","","Transition House","Unknown","{}","{Transition House}","Phone: 778-641-4445","true","From BC transition houses CSV"
"jean-scott-transition-house","Hope","Cedar Strong Prevention and Intervention Society","Jean Scott Transition House","604-869-5191","1-877-869-5191","604-869-1872","Transition House","Unknown","{}","{Transition House}","Phone: 604-869-5191 | Toll free: 1-877-869-5191 | Text only: 604-869-1872","true","From BC transition houses CSV"
"women-s-information-and-safe-home-wish","Invermere","Family Dynamix Association","Women's Information and Safe Home (WISH)","250-342-5566","1-800-200-3003","250-341-3963","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-342-5566 | Toll free: 1-800-200-3003 | Text only: 250-341-3963","true","From BC transition houses CSV"
"y-women-s-emergency-shelter","Kamloops","YWCA BC","Y Women's Emergency Shelter","250-374-6162","","250-682-7931","Transition House","Unknown","{}","{Transition House}","Phone: 250-374-6162 | Text only: 250-682-7931","true","From BC transition houses CSV"
"kaslo-safe-home","Kaslo","Kaslo Community Services Society","Kaslo Safe Home","250-353-7691","","250-354-4357","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-353-7691 | Text only: 250-354-4357","true","From BC transition houses CSV"
"kelowna-women-s-shelter","Kelowna","Central Okanagan Emergency Shelter Society","Kelowna Women's Shelter","250-763-1040","","236-970-0704","Transition House","Unknown","{}","{Transition House}","Phone: 250-763-1040 | Text only: 236-970-0704","true","From BC transition houses CSV"
"dunmore-place","Kitimat","The Tamitik Status of Women Association","Dunmore Place","250-632-6070","","","Transition House","Unknown","{}","{Transition House}","Phone: 250-632-6070","true","From BC transition houses CSV"
"ishtar-transition-house","Langley","Ishtar Women's Resource Society","Ishtar Transition House","604-530-9442","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-530-9442","true","From BC transition houses CSV"
"sa-koh-housing","Lower Post","Lower Post Housing Society","Sa-Koh Housing","250-779-3078","","","Transition House","Unknown","{}","{Transition House}","Phone: 250-779-3078","true","From BC transition houses CSV"
"stqaka7st-mc-hold-my-hand-lil-wat-nation-transition-house","Lil'wat Nation","Hans Knakst Tsitxw Society","Stqaka7st?mc ? Hold my hand Lil'wat Nation Transition House","604-384-7247","1-833-512-0664","","Transition House","Unknown","{}","{Transition House}","Phone: 604-384-7247 | Toll free: 1-833-512-0664","true","From BC transition houses CSV"
"lillooet-safe-home","Lillooet","Lillooet Friendship Centre Society","Lillooet Safe Home","250-256-4146","","","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-256-4146","true","From BC transition houses CSV"
"helping-hands-transition-house","Lytton","Hans Knakst Tsitxw Society","Helping Hands Transition House","778-254-0217","1-800-318-4455","778-254-8582","Transition House","Unknown","{}","{Transition House}","Phone: 778-254-0217 | Toll free: 1-800-318-4455 | Text only: 778-254-8582","true","From BC transition houses CSV"
"jonduh-wuts-uh-from-here-on-safe-home","Mackenzie","Mackenzie Counselling Services Society","Jonduh Wuts'uh ""From Here On"" (Safe Home)","250-997-6595","","","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-997-6595","true","From BC transition houses CSV"
"cythera-transition-house","Maple Ridge","Cythera Transition House Society","Cythera Transition House","604-467-9966","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-467-9966","true","From BC transition houses CSV"
"tlaa-juuhldaa-naay-transition-house","Massett","Haida Gwaii Society for Community Peace","Tlaa Juuhldaa Naay Transition House","250-626-4666","1-877-626-4677","250-626-9163","Transition House","Unknown","{}","{Transition House}","Phone: 250-626-4666 | Toll free: 1-877-626-4677 | Text only: 250-626-9163","true","From BC transition houses CSV"
"mission-transition-house","Mission","SARA for Women Society","Mission Transition House","604-826-7800","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-826-7800","true","From BC transition houses CSV"
"nakusp-safe-home","Nakusp","Arrow and Slocan Lakes Community Services","Nakusp Safe Home","250-265-1843","","","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-265-1843","true","From BC transition houses CSV"
"haven-house","Nanaimo","Haven Society","Haven House","250-756-0616","1-888-756-0616","250-756-2452","Transition House","Unknown","{}","{Transition House}","Phone: 250-756-0616 | Toll free: 1-888-756-0616 | Text only: 250-756-2452","true","From BC transition houses CSV"
"cedar-woman-house","Nanaimo","Snuneymuxw First Nation","Cedar Woman House","250-591-5580","","","Transition House","Unknown","{}","{Transition House}","Phone: 250-591-5580","true","From BC transition houses CSV"
"aimee-beaulieu-transition-house","Nelson","The Nelson Community Service Society","Aimee Beaulieu Transition House","250-354-4357","","778-608-3900","Transition House","Unknown","{}","{Transition House}","Phone: 250-354-4357 | Text only: 778-608-3900","true","From BC transition houses CSV"
"monarch-place","New Westminster","W.I.N.G.S. Fellowship Ministries (Women in Need Gaining Strength)","Monarch Place","604-521-1888","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-521-1888","true","From BC transition houses CSV"
"sage-transition-house","North Vancouver","North Shore Crisis Services Society","Sage Transition House","604-987-3374","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-987-3374","true","From BC transition houses CSV"
"cindy-taylor-safe-home","Oliver","Desert Sun Counselling & Resource Centre Society","Cindy Taylor Safe Home","250-485-7777","","250-498-2538","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-485-7777 | Text only: 250-498-2538","true","From BC transition houses CSV"
"parksville-safe-home","Parksville","Haven Society","Parksville Safe Home","250-586-4718","1-888-756-0616","250-756-0616","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-586-4718 | Toll free: 1-888-756-0616 | Text only: 250-756-0616","true","From BC transition houses CSV"
"pearl-s-safe-home","Pemberton","PearlSpace Support Services Society","Pearl's Safe Home","604-892-5711","1-877-890-5711","","Safe Home","Unknown","{}","{Safe Home}","Phone: 604-892-5711 | Toll free: 1-877-890-5711","true","From BC transition houses CSV"
"hughes-house","Penticton","South Okanagan Women in Need Society","Hughes House","250-493-7233","1-800-814-2033","","Transition House","Unknown","{}","{Transition House}","Phone: 250-493-7233 | Toll free: 1-800-814-2033","true","From BC transition houses CSV"
"okanagan-nation-emergency-transition-house","Penticton (on-reserve)","Okanagan Nation Family Intervention and Services Society","Okanagan Nation Emergency Transition House","250-493-4902","1-877-493-4909","","Transition House","Unknown","{}","{Transition House}","Phone: 250-493-4902 | Toll free: 1-877-493-4909","true","From BC transition houses CSV"
"oomiiqsu","Port Alberni","Huu-ay-aht First Nations","Oomiiqsu","250-736-5066","","","Transition House","Unknown","{}","{Transition House}","Phone: 250-736-5066","true","From BC transition houses CSV"
"port-alberni-transition-house","Port Alberni","Sage Haven Society","Port Alberni Transition House","250-724-2223","","250-206-1011","Transition House","Unknown","{}","{Transition House}","Phone: 250-724-2223 | Text only: 250-206-1011","true","From BC transition houses CSV"
"port-hardy-safe-home","Port Hardy","North Island Crisis and Counselling Centre Society","Port Hardy Safe Home","250-230-1647","","250-949-8333","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-230-1647 | Text only: 250-949-8333","true","From BC transition houses CSV"
"grace-house","Powell River","Powell River and Region Transition House Society","Grace House","604-485-9773","","604-485-5335","Transition House","Unknown","{}","{Transition House}","Phone: 604-485-9773 | Text only: 604-485-5335","true","From BC transition houses CSV"
"dzee-ba-yugh-safe-house-heart-house","Prince George","Carrier Sekani Family Services","Dzee Ba'yugh Safe House (Heart House)","778-924-0004","","","Safe Home","Unknown","{}","{Safe Home}","Phone: 778-924-0004","true","From BC transition houses CSV"
"harmony-house-prince-george","Prince George","Phoenix Transition Society","Harmony House Prince George","236-423-3335","","","Transition House","Unknown","{}","{Transition House}","Phone: 236-423-3335","true","From BC transition houses CSV"
"phoenix-transition-house","Prince George","Phoenix Transition Society","Phoenix Transition House","250-563-7305","","","Transition House","Unknown","{}","{Transition House}","Phone: 250-563-7305","true","From BC transition houses CSV"
"amber-house","Prince George","Prince George and District Elizabeth Fry Society","Amber House","250-562-5868","1-866-563-1113","","Transition House","Unknown","{}","{Transition House}","Phone: 250-562-5868 | Toll free: 1-866-563-1113","true","From BC transition houses CSV"
"ravens-keep-transition-house","Prince Rupert","North Coast Transition Society","Ravens Keep Transition House","250-627-8588","","250-600-1983","Transition House","Unknown","{}","{Transition House}","Phone: 250-627-8588 | Text only: 250-600-1983","true","From BC transition houses CSV"
"cindy-parolin-safe-home","Princeton","Princeton Family Services Society","Cindy Parolin Safe Home","250-295-8211","","250-295-3126","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-295-8211 | Text only: 250-295-3126","true","From BC transition houses CSV"
"amata-transition-house","Quesnel","Amata Transition House Society","Amata Transition House","250-992-3385","","250-992-7321","Transition House","Unknown","{}","{Transition House}","Phone: 250-992-3385 | Text only: 250-992-7321","true","From BC transition houses CSV"
"forsythe-house-a-safe-place","Revelstoke","Revelstoke Women's Shelter Society","Forsythe House - A Safe Place","250-837-1111","","250-837-4382","Transition House","Unknown","{}","{Transition House}","Phone: 250-837-1111 | Text only: 250-837-4382","true","From BC transition houses CSV"
"nova-transition-house","Richmond","Chimo Community Services Society","Nova Transition House","604-270-4911","877-374-0742","","Transition House","Unknown","{}","{Transition House}","Phone: 604-270-4911 | Toll free: 877-374-0742","true","From BC transition houses CSV"
"salmo-safe-home","Salmo","Salmo Community Resource Society","Salmo Safe Home","250-357-2277","","","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-357-2277","true","From BC transition houses CSV"
"shuswap-area-women-s-shelter","Salmon Arm","Shuswap Area Family Emergency Society","Shuswap & Area Women's Shelter","250-832-9616","","","Transition House","Unknown","{}","{Transition House}","Phone: 250-832-9616","true","From BC transition houses CSV"
"salt-spring-island-transition-house","Salt Spring Island","Islanders Working Against Violence Society","Salt Spring Island Transition House","250-537-0735","1-877-435-7544","","Transition House","Unknown","{}","{Transition House}","Phone: 250-537-0735 | Toll free: 1-877-435-7544","true","From BC transition houses CSV"
"yew-transition-house","Sechelt","Sunshine Coast Community Services Society","Yew Transition House","604-885-2944","1-877-885-2949","604-885-5128","Transition House","Unknown","{}","{Transition House}","Phone: 604-885-2944 | Toll free: 1-877-885-2949 | Text only: 604-885-5128","true","From BC transition houses CSV"
"passage-transition-house","Smithers","Northern Society for Domestic Peace","Passage Transition House","250-847-2595","","","Transition House","Unknown","{}","{Transition House}","Phone: 250-847-2595","true","From BC transition houses CSV"
"annie-s-place","Sooke","Sooke Transition House Society","Annie's Place","250-642-2591","","778-966-2591","Transition House","Unknown","{}","{Transition House}","Phone: 250-642-2591 | Text only: 778-966-2591","true","From BC transition houses CSV"
"ama-house-for-older-women","South Surrey","Atira Women's Resource Society","Ama House for Older Women","604-542-5992","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-542-5992","true","From BC transition houses CSV"
"pearl-s-place-transition-house","Squamish","PearlSpace Support Services Society","Pearl's Place Transition House","604-892-5711","1-877-890-5711","","Transition House","Unknown","{}","{Transition House}","Phone: 604-892-5711 | Toll free: 1-877-890-5711","true","From BC transition houses CSV"
"shimai-transition-house","Surrey","Atira Women's Resource Society","Shimai Transition House","604-581-9100","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-581-9100","true","From BC transition houses CSV"
"maxxine-wright-shelter","Surrey","Atira Women's Resource Society","Maxxine Wright Shelter","604-619-9188","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-619-9188","true","From BC transition houses CSV"
"virginia-sam-transition-house","Surrey/Newton","Options Community Services Society","Virginia Sam Transition House","604-572-5116","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-572-5116","true","From BC transition houses CSV"
"evergreen-transition-house","Surrey/Whalley","Options Community Services Society","Evergreen Transition House","604-584-3301","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-584-3301","true","From BC transition houses CSV"
"three-sisters-haven-house","Telegraph Creek (on-reserve)","Tahltan Health and Social Services Authority","Three Sisters Haven House","250-235-3120","1-888-414-2836","","Transition House","Unknown","{}","{Transition House}","Phone: 250-235-3120 | Toll free: 1-888-414-2836","true","From BC transition houses CSV"
"ksan-house","Terrace","Ksan House Society","'Ksan House","250-635-6447","","250-641-7233","Transition House","Unknown","{}","{Transition House}","Phone: 250-635-6447 | Text only: 250-641-7233","true","From BC transition houses CSV"
"wins-transition-house","Trail","Trail Family and Individual Resource Centre Society","WINS Transition House","250-364-1543","","250-364-2326","Transition House","Unknown","{}","{Transition House}","Phone: 250-364-1543 | Text only: 250-364-2326","true","From BC transition houses CSV"
"tumbler-ridge-safe-home","Tumbler Ridge","South Peace Community Resources Society","Tumbler Ridge Safe Home","250-242-8208","","","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-242-8208","true","From BC transition houses CSV"
"westcoast-transition-house","Ucluelet","Westcoast Community Resources Society","Westcoast Transition House","250-726-2020","1-877-726-2080","250-266-0187","Transition House","Unknown","{}","{Transition House}","Phone: 250-726-2020 | Toll free: 1-877-726-2080 | Text only: 250-266-0187","true","From BC transition houses CSV"
"ada-s-place","Valemount","Robson Valley Community Services Society","Ada's Place","1-844-324-2004","","","Transition House","Unknown","{}","{Transition House}","Phone: 1-844-324-2004","true","From BC transition houses CSV"
"mcbride-safe-home","Valemount","Robson Valley Community Services Society","McBride Safe Home","1-844-324-2004","","250-569-2266","Safe Home","Unknown","{}","{Safe Home}","Phone: 1-844-324-2004 | Text only: 250-569-2266","true","From BC transition houses CSV"
"katherine-s-house","Vancouver","Atira Women's Resource Society","Katherine's House","778-984-2021","","604-531-6314","Transition House","Unknown","{}","{Transition House}","Phone: 778-984-2021 | Text only: 604-531-6314","true","From BC transition houses CSV"
"pierce-house","Vancouver","Atira Women's Resource Society","Pierce House","604-267-9131","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-267-9131","true","From BC transition houses CSV"
"deborah-s-gate","Vancouver","Governing Council of the Salvation Army in Canada","Deborah's Gate","604-347-9500","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-347-9500","true","From BC transition houses CSV"
"kate-booth-house","Vancouver","Governing Council of the Salvation Army in Canada","Kate Booth House","604-872-7774","","604-872-0772","Transition House","Unknown","{}","{Transition House}","Phone: 604-872-7774 | Text only: 604-872-0772","true","From BC transition houses CSV"
"helping-spirit-lodge","Vancouver","Helping Spirit Lodge Society","Helping Spirit Lodge","604-872-6649","","604-325-2171","Transition House","Unknown","{}","{Transition House}","Phone: 604-872-6649 | Text only: 604-325-2171","true","From BC transition houses CSV"
"nisa-home","Vancouver","Nisa Foundation","Nisa Home","1-888-456-8043 ext. 402","","","Transition House","Unknown","{}","{Transition House}","Phone: 1-888-456-8043 ext. 402","true","From BC transition houses CSV"
"peggy-s-place","Vancouver","The Kettle Friendship Society","Peggy's Place","604-430-5202","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-430-5202","true","From BC transition houses CSV"
"vancouver-rape-relief-women-s-shelter","Vancouver","Vancouver Rape Relief Society","Vancouver Rape Relief & Women's Shelter","604-872-8212","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-872-8212","true","From BC transition houses CSV"
"joy-aitkens-safe-home","Vanderhoof","Omineca Safe Home Society","Joy Aitkens Safe Home","250-567-9512","","250-567-9959","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-567-9512 | Text only: 250-567-9959","true","From BC transition houses CSV"
"vernon-women-s-transition-house","Vernon","Archway Society for Domestic Peace","Vernon Women's Transition House","250-542-1122","","","Transition House","Unknown","{}","{Transition House}","Phone: 250-542-1122","true","From BC transition houses CSV"
"cridge-transition-house-for-women","Victoria","Cridge Centre for the Family","Cridge Transition House for Women","250-479-3963","","","Transition House","Unknown","{}","{Transition House}","Phone: 250-479-3963","true","From BC transition houses CSV"
"older-women-s-safe-home","Victoria","Victoria Women's Transition House Society","Older Women's Safe Home","250-385-6611","","250-592-2927","Safe Home","Unknown","{}","{Safe Home}","Phone: 250-385-6611 | Text only: 250-592-2927","true","From BC transition houses CSV"
"victoria-women-s-transition-house","Victoria","Victoria Women's Transition House Society","Victoria Women's Transition House","250-385-6611","","250-592-2927","Transition House","Unknown","{}","{Transition House}","Phone: 250-385-6611 | Text only: 250-592-2927","true","From BC transition houses CSV"
"help-and-hope-transition-house","Watson Lake (Yukon - also serves Northern BC)","Help and Hope for Families Society","Help and Hope Transition House","867-536-7233","","","Transition House","Unknown","{}","{Transition House}","Phone: 867-536-7233","true","From BC transition houses CSV"
"west-kelowna-second-stage","West Kelowna","Central Okanagan Emergency Shelter Society","West Kelowna Second Stage","250-763-1040","","236-970-0704","Transition House","Unknown","{}","{Transition House}","Phone: 250-763-1040 | Text only: 236-970-0704","true","From BC transition houses CSV"
"westshore-safe-house","Westshore","Victoria Women's Transition House Society","Westshore Safe House","250-385-6611","","","Safe House","Unknown","{}","{Safe House}","Phone: 250-385-6611","true","From BC transition houses CSV"
"maries-safe-home","Whistler","PearlSpace Support Services Society","Maries Safe Home","1-877-890-5711","1-877-890-5711","","Safe House","Unknown","{}","{Safe House}","Phone: 1-877-890-5711 | Toll free: 1-877-890-5711","true","From BC transition houses CSV"
"durrant-house","White Rock","Atira Women's Resource Society","Durrant House","604-531-9151","","","Transition House","Unknown","{}","{Transition House}","Phone: 604-531-9151","true","From BC transition houses CSV"
"chiwid-transition-house","Williams Lake","Cariboo Friendship Society","Chiwid Transition House","250-398-5658","","250-398-6831","Transition House","Unknown","{}","{Transition House}","Phone: 250-398-5658 | Text only: 250-398-6831","true","From BC transition houses CSV"
